iter	Passed	Remaining
0	2	709
1	4	696
2	6	668
3	8	657
4	11	652
5	13	654
6	15	645
7	17	642
8	19	640
9	21	629
10	23	625
11	26	625
12	28	620
13	30	619
14	31	600
15	33	599
16	35	598
17	38	598
18	40	596
19	42	593
20	44	593
21	46	591
22	48	589
23	51	589
24	53	587
25	55	585
26	57	583
27	59	581
28	61	578
29	63	571
30	65	565
31	66	557
32	68	555
33	70	554
34	72	551
35	74	549
36	77	547
37	79	546
38	81	544
39	83	543
40	85	542
41	87	540
42	90	538
43	92	536
44	94	534
45	96	533
46	98	532
47	100	530
48	103	527
49	105	526
50	107	523
51	109	522
52	112	521
53	114	519
54	116	517
55	118	516
56	120	513
57	122	511
58	124	509
59	126	506
60	128	504
61	130	502
62	133	500
63	135	497
64	137	496
65	139	494
66	141	492
67	143	490
68	145	487
69	147	485
70	149	483
71	151	480
72	154	478
73	156	477
74	158	476
75	161	475
76	163	473
77	165	471
78	167	469
79	169	466
80	171	464
81	173	461
82	175	459
83	177	456
84	179	453
85	180	449
86	182	447
87	184	444
88	185	440
89	187	437
90	188	433
91	190	431
92	192	429
93	195	427
94	196	424
95	198	421
96	199	418
97	201	416
98	204	414
99	205	411
100	207	408
101	208	405
102	210	402
103	211	399
104	213	396
105	215	394
106	217	392
107	219	390
108	221	388
109	224	387
110	225	384
111	227	382
112	229	380
113	231	378
114	234	376
115	236	374
116	238	372
117	240	370
118	242	368
119	244	366
120	246	364
121	248	362
122	250	360
123	252	358
124	254	356
125	256	354
126	258	352
127	260	350
128	262	348
129	264	346
130	266	343
131	268	342
132	270	339
133	272	337
134	273	334
135	276	332
136	277	330
137	279	328
138	281	326
139	283	324
140	285	322
141	287	320
142	290	318
143	291	316
144	294	314
145	296	312
146	298	310
147	300	308
148	302	306
149	304	304
150	306	302
151	308	300
152	310	298
153	312	296
154	315	294
155	317	292
156	318	290
157	320	288
158	322	285
159	323	283
160	325	281
161	327	279
162	329	277
163	331	275
164	333	273
165	335	271
166	337	268
167	339	266
168	342	265
169	344	263
170	346	261
171	348	259
172	349	256
173	351	254
174	354	252
175	356	250
176	358	248
177	360	246
178	362	244
179	364	242
180	366	240
181	368	239
182	370	237
183	373	235
184	375	233
185	377	231
186	379	229
187	381	227
188	383	225
189	385	223
190	387	221
191	389	219
192	391	217
193	393	215
194	395	213
195	397	211
196	399	209
197	402	207
198	404	205
199	406	203
200	408	201
201	409	198
202	411	196
203	413	194
204	415	192
205	417	190
206	419	188
207	421	186
208	422	184
209	424	182
210	427	180
211	429	178
212	430	175
213	432	173
214	434	171
215	437	169
216	439	167
217	441	166
218	443	163
219	444	161
220	446	159
221	449	157
222	450	155
223	453	153
224	455	151
225	457	149
226	459	147
227	461	145
228	463	143
229	465	141
230	467	139
231	469	137
232	471	135
233	472	133
234	474	131
235	476	129
236	478	127
237	480	125
238	482	123
239	484	121
240	486	119
241	488	117
242	490	114
243	492	112
244	494	110
245	496	108
246	498	106
247	500	104
248	502	102
249	504	100
250	506	98
251	508	96
252	510	94
253	512	92
254	514	90
255	516	88
256	518	86
257	520	84
258	522	82
259	524	80
260	527	78
261	529	76
262	531	74
263	533	72
264	535	70
265	537	68
266	539	66
267	540	64
268	542	62
269	544	60
270	547	58
271	549	56
272	551	54
273	553	52
274	555	50
275	557	48
276	559	46
277	562	44
278	563	42
279	566	40
280	568	38
281	569	36
282	571	34
283	573	32
284	575	30
285	577	28
286	579	26
287	581	24
288	583	22
289	585	20
290	587	18
291	589	16
292	591	14
293	593	12
294	595	10
295	598	8
296	599	6
297	601	4
298	603	2
299	606	0
